Date,Order_ID,Product_ID,Dest. Warehouse, Source Factory,Shipping Time (Expected),Shipping Time (Actual),Delay Risk?,Total No. of Pieces,No. of pieces sold,No. of Pieces Returned,Avg. Batch Rating
2023-04-01,O00001,P011,W013,F001,4,4,No,1873,1368,76,4.4
2023-04-01,O00002,P003,W007,F005,3,2,No,820,582,36,3.8
2023-04-01,O00003,P005,W008,F005,4,5,Yes,1225,781,86,4.7
2023-04-01,O00004,P017,W009,F001,3,3,No,1559,1304,56,4.7
2023-04-01,O00005,P019,W019,F002,6,6,No,907,596,50,4.9
2023-04-01,O00006,P018,W015,F003,3,3,No,1275,834,78,3.7
2023-04-01,O00007,P020,W014,F001,3,2,No,853,634,41,3.7
2023-04-01,O00008,P003,W002,F005,5,4,No,1764,1238,93,4.6
2023-04-01,O00009,P010,W003,F005,5,3,No,1611,592,178,4.6
2023-04-01,O00010,P014,W020,F002,6,8,No,1680,648,213,4.8
2023-04-01,O00011,P011,W016,F001,6,8,Yes,1511,1331,33,4.9
2023-04-01,O00012,P014,W018,F002,3,3,No,1190,259,185,4.1
2023-04-01,O00013,P009,W011,F002,6,5,No,1131,831,52,4.8
2023-04-01,O00014,P016,W013,F001,4,5,Yes,1624,1288,74,3.9
2023-04-01,O00015,P002,W012,F003,5,5,No,1032,717,78,3.7
2023-04-01,O00016,P009,W013,F002,6,6,No,1370,959,80,3.8
2023-04-01,O00017,P014,W016,F002,5,3,No,726,198,119,4.1
2023-04-01,O00018,P007,W013,F005,6,7,Yes,896,612,67,4.6
2023-04-01,O00019,P011,W014,F001,3,2,No,1520,1293,43,4.9
2023-04-01,O00020,P015,W017,F005,6,8,No,773,577,42,4.2
2023-04-01,O00021,P010,W005,F005,6,6,No,1588,600,184,3.6
2023-04-01,O00022,P018,W001,F003,3,3,No,617,466,24,4.5
2023-04-01,O00023,P003,W004,F005,4,3,No,1625,1084,87,4.1
2023-04-01,O00024,P008,W007,F001,3,3,No,886,603,59,3.5
2023-04-01,O00025,P007,W014,F005,3,1,No,670,519,28,4.6
2023-04-01,O00026,P002,W013,F004,5,6,Yes,618,466,37,3.7
2023-04-01,O00027,P016,W011,F001,3,2,No,674,513,28,3.5
2023-04-01,O00028,P007,W020,F005,3,3,No,1164,878,52,4.1
2023-04-01,O00029,P014,W019,F002,6,6,No,1219,316,223,4.8
2023-04-01,O00030,P019,W012,F002,5,6,Yes,956,678,49,3.8
2023-04-01,O00031,P014,W010,F002,6,5,No,1582,412,202,3.9
2023-04-01,O00032,P009,W017,F002,6,4,No,911,632,60,4.4
2023-04-01,O00033,P009,W012,F002,5,6,Yes,1627,1282,70,4.9
2023-04-01,O00034,P007,W007,F005,3,2,No,1039,784,56,4.4
2023-04-01,O00035,P016,W015,F001,5,5,No,525,403,21,5.0
2023-04-01,O00036,P013,W011,F002,6,6,No,1355,1120,51,3.9
2023-04-01,O00037,P010,W018,F005,4,4,No,1572,612,213,4.3
2023-04-01,O00038,P006,W018,F001,3,1,No,658,487,28,3.5
2023-04-01,O00039,P016,W001,F001,4,3,No,860,592,65,4.3
2023-04-01,O00040,P010,W009,F005,6,8,Yes,514,139,79,4.9
2023-04-01,O00041,P016,W016,F001,6,6,No,945,653,56,3.6
2023-04-01,O00042,P005,W007,F005,3,3,No,1489,1150,81,4.5
2023-04-01,O00043,P018,W003,F003,4,5,No,830,629,49,3.8
2023-04-01,O00044,P013,W013,F002,6,8,Yes,1459,1139,55,4.2
2023-04-01,O00045,P012,W013,F005,6,4,No,773,555,46,5.0
2023-04-01,O00046,P014,W006,F002,5,6,Yes,1783,652,248,4.1
2023-04-01,O00047,P009,W014,F002,4,5,No,1347,1071,54,4.6
2023-04-01,O00048,P017,W018,F001,3,3,No,1394,1040,80,4.9
2023-04-01,O00049,P006,W006,F001,3,3,No,1253,945,46,3.5
2023-04-01,O00050,P003,W016,F005,5,6,No,1679,1084,108,4.8
2023-04-01,O00051,P003,W018,F005,4,3,No,955,727,39,4.1
2023-04-01,O00052,P003,W014,F005,3,3,No,1696,1057,121,4.9
2023-04-01,O00053,P014,W017,F002,6,7,Yes,628,131,94,4.6
2023-04-01,O00054,P009,W010,F002,6,8,Yes,1217,881,69,4.1
2023-04-01,O00055,P017,W008,F001,3,3,No,1860,1391,113,3.7
2023-04-01,O00056,P005,W005,F001,4,5,No,1789,1373,102,3.7
2023-04-01,O00057,P002,W008,F003,4,6,Yes,1515,994,100,4.4
2023-04-01,O00058,P015,W014,F005,3,4,No,598,397,38,4.9
2023-04-01,O00059,P001,W006,F003,3,3,No,1053,925,29,4.2
2023-04-01,O00060,P001,W012,F003,5,6,No,1653,1224,78,4.8
2023-04-01,O00061,P006,W005,F001,4,4,No,1423,1034,69,4.8
2023-04-01,O00062,P011,W005,F001,4,6,No,1606,1154,100,4.7
2023-04-01,O00063,P009,W019,F002,6,5,No,1035,756,66,4.3
2023-04-01,O00064,P015,W004,F005,4,6,Yes,1771,1165,124,4.3
2023-04-01,O00065,P019,W009,F002,4,2,No,1199,844,87,3.8
2023-04-01,O00066,P004,W004,F003,6,4,No,1111,828,63,5.0
2023-04-01,O00067,P002,W020,F003,4,5,Yes,1561,1165,89,4.4
2023-04-01,O00068,P018,W018,F003,5,4,No,1201,917,50,3.7
2023-04-01,O00069,P003,W017,F005,6,7,Yes,995,776,49,4.1
2023-04-01,O00070,P006,W020,F002,6,6,No,1160,730,82,4.6
2023-04-01,O00071,P018,W006,F003,3,4,Yes,531,336,47,3.6
2023-04-01,O00072,P018,W008,F003,4,6,Yes,1004,675,53,4.3
2023-04-01,O00073,P012,W020,F005,3,3,No,1252,879,69,4.9
2023-04-01,O00074,P001,W007,F003,6,4,No,1003,738,61,3.7
2023-04-01,O00075,P016,W020,F001,3,3,No,666,512,23,3.6
2023-04-01,O00076,P009,W020,F002,6,6,No,572,382,47,4.8
2023-04-01,O00077,P040,W007,F002,4,4,No,1060,790,66,4.2
2023-04-01,O00078,P005,W004,F005,4,4,No,1462,1018,83,4.9
2023-04-01,O00079,P016,W007,F001,3,4,No,868,525,75,5.0
2023-04-01,O00080,P004,W002,F003,6,7,Yes,1600,1151,99,4.3
2023-04-01,O00081,P002,W007,F003,6,7,Yes,1691,1032,155,3.8
2023-04-01,O00082,P007,W005,F005,6,5,No,1158,786,87,3.7
2023-04-01,O00083,P015,W013,F005,6,6,No,951,689,60,4.3
2023-04-01,O00084,P001,W009,F003,4,5,Yes,1739,1304,101,4.9
2023-04-01,O00085,P008,W010,F001,4,4,No,1733,1125,102,3.5
2023-04-01,O00086,P005,W005,F005,6,6,No,830,529,73,4.1
2023-04-01,O00087,P016,W005,F001,4,3,No,1345,969,69,3.6
2023-04-01,O00088,P003,W020,F005,3,1,No,518,380,23,4.1
2023-04-01,O00089,P008,W004,F001,6,6,No,788,573,45,3.8
2023-04-01,O00090,P001,W015,F003,3,2,No,1027,873,27,3.9
2023-04-01,O00091,P019,W013,F002,6,4,No,1213,949,51,5.0
2023-04-01,O00092,P010,W020,F005,3,2,No,821,323,94,4.6
2023-04-01,O00093,P012,W008,F005,4,4,No,924,592,52,4.4
2023-04-01,O00094,P013,W002,F002,3,2,No,997,794,36,4.5
2023-04-01,O00095,P019,W020,F002,6,6,No,521,327,32,4.9
2023-04-01,O00096,P009,W007,F002,4,2,No,519,342,37,4.4
2023-04-01,O00097,P012,W010,F005,4,4,No,866,615,55,4.1
2023-04-01,O00098,P011,W007,F001,3,3,No,972,817,28,3.9
2023-04-01,O00099,P019,W004,F002,3,2,No,1007,604,65,4.2
2023-04-01,O00100,P004,W007,F003,6,7,Yes,1720,1528,32,4.4
2023-04-01,O00101,P011,W011,F001,3,2,No,1509,1169,72,4.1
2023-04-01,O00102,P017,W001,F001,4,4,No,1930,1448,118,4.1
2023-04-01,O00103,P008,W012,F001,3,4,No,1760,1273,105,4.2
2023-04-01,O00104,P004,W008,F003,4,5,No,953,729,51,4.8
2023-04-01,O00105,P003,W018,F001,3,4,No,1143,785,74,4.4
2023-04-01,O00106,P009,W008,F002,4,5,No,876,643,50,4.7
2023-04-01,O00107,P017,W004,F001,6,6,No,1970,1390,87,3.6
2023-04-01,O00108,P005,W016,F005,5,5,No,1301,796,112,4.4
2023-04-01,O00109,P017,W005,F001,4,4,No,1230,1007,40,4.8
2023-04-01,O00110,P004,W011,F003,3,5,Yes,1538,1329,35,4.4
2023-04-01,O00111,P003,W008,F005,4,6,Yes,1332,866,105,4.1
2023-04-01,O00112,P005,W019,F005,4,4,No,1008,722,50,4.1
2023-04-01,O00113,P018,W009,F003,4,5,Yes,1048,768,59,3.9
2023-04-01,O00114,P019,W010,F002,6,6,No,1711,1311,81,3.7
